Sample in Buffer,Sample in Window,TRIGGER,axi_spi_top_i/system_ila_4/inst/probe0_1[13:0]
0,0,0,-395
1,1,0,4016
2,2,0,2802
3,3,0,-2181
4,4,0,-4022
5,5,0,-389
6,6,0,4010
7,7,0,2805
8,8,0,-2179
9,9,0,-4026
10,10,0,-391
11,11,0,4016
12,12,0,2803
13,13,0,-2173
14,14,0,-4028
15,15,0,-389
16,16,0,4016
17,17,0,2803
18,18,0,-2178
19,19,0,-4022
20,20,0,-396
21,21,0,4011
22,22,0,2801
23,23,0,-2179
24,24,0,-4025
25,25,0,-391
26,26,0,4015
27,27,0,2803
28,28,0,-2180
29,29,0,-4026
30,30,0,-391
31,31,0,4016
32,32,0,2803
33,33,0,-2178
34,34,0,-4024
35,35,0,-391
36,36,0,4016
37,37,0,2802
38,38,0,-2177
39,39,0,-4029
40,40,0,-388
41,41,0,4016
42,42,0,2804
43,43,0,-2172
44,44,0,-4023
45,45,0,-389
46,46,0,4014
47,47,0,2798
48,48,0,-2181
49,49,0,-4026
50,50,0,-392
51,51,0,4017
52,52,0,2800
53,53,0,-2180
54,54,0,-4028
55,55,0,-390
56,56,0,4014
57,57,0,2804
58,58,0,-2179
59,59,0,-4029
60,60,0,-389
61,61,0,4016
62,62,0,2800
63,63,0,-2179
64,64,0,-4023
65,65,0,-389
66,66,0,4016
67,67,0,2802
68,68,0,-2184
69,69,0,-4027
70,70,0,-388
71,71,0,4014
72,72,0,2802
73,73,0,-2180
74,74,0,-4021
75,75,0,-387
76,76,0,4015
77,77,0,2800
78,78,0,-2183
79,79,0,-4026
80,80,0,-384
81,81,0,4014
82,82,0,2799
83,83,0,-2185
84,84,0,-4027
85,85,0,-390
86,86,0,4015
87,87,0,2797
88,88,0,-2180
89,89,0,-4021
90,90,0,-387
91,91,0,4018
92,92,0,2803
93,93,0,-2183
94,94,0,-4026
95,95,0,-387
96,96,0,4011
97,97,0,2799
98,98,0,-2178
99,99,0,-4030
100,100,0,-388
101,101,0,4014
102,102,0,2796
103,103,0,-2180
104,104,0,-4027
105,105,0,-392
106,106,0,4014
107,107,0,2799
108,108,0,-2183
109,109,0,-4024
110,110,0,-388
111,111,0,4015
112,112,0,2798
113,113,0,-2181
114,114,0,-4022
115,115,0,-389
116,116,0,4017
117,117,0,2806
118,118,0,-2181
119,119,0,-4027
120,120,0,-393
121,121,0,4012
122,122,0,2798
123,123,0,-2184
124,124,0,-4026
125,125,0,-393
126,126,0,4012
127,127,0,2800
128,128,0,-2182
129,129,0,-4024
130,130,0,-388
131,131,0,4020
132,132,0,2801
133,133,0,-2186
134,134,0,-4021
135,135,0,-385
136,136,0,4016
137,137,0,2799
138,138,0,-2181
139,139,0,-4023
140,140,0,-384
141,141,0,4019
142,142,0,2802
143,143,0,-2183
144,144,0,-4023
145,145,0,-392
146,146,0,4012
147,147,0,2799
148,148,0,-2183
149,149,0,-4024
150,150,0,-388
151,151,0,4018
152,152,0,2797
153,153,0,-2183
154,154,0,-4024
155,155,0,-390
156,156,0,4016
157,157,0,2802
158,158,0,-2180
159,159,0,-4028
160,160,0,-383
161,161,0,4018
162,162,0,2798
163,163,0,-2181
164,164,0,-4025
165,165,0,-384
166,166,0,4014
167,167,0,2799
168,168,0,-2184
169,169,0,-4026
170,170,0,-384
171,171,0,4016
172,172,0,2800
173,173,0,-2182
174,174,0,-4018
175,175,0,-388
176,176,0,4019
177,177,0,2797
178,178,0,-2182
179,179,0,-4024
180,180,0,-387
181,181,0,4014
182,182,0,2798
183,183,0,-2187
184,184,0,-4023
185,185,0,-385
186,186,0,4018
187,187,0,2802
188,188,0,-2185
189,189,0,-4024
190,190,0,-386
191,191,0,4016
192,192,0,2802
193,193,0,-2185
194,194,0,-4026
195,195,0,-386
196,196,0,4015
197,197,0,2796
198,198,0,-2185
199,199,0,-4024
200,200,0,-387
201,201,0,4011
202,202,0,2801
203,203,0,-2186
204,204,0,-4023
205,205,0,-390
206,206,0,4018
207,207,0,2796
208,208,0,-2187
209,209,0,-4026
210,210,0,-388
211,211,0,4017
212,212,0,2800
213,213,0,-2183
